Academic_Year,AY_Start,AY_End,Region,Enrollees_K,Enrollees_G1,Enrollees_G2,Enrollees_G3,Enrollees_G4,Enrollees_G5,Enrollees_G6,Enrollees_G7,Enrollees_G8,Enrollees_G9,Enrollees_G10,Enrollees_G11_ABM,Enrollees_G11_HUMSS,Enrollees_G11_STEM,Enrollees_G11_GAS,Enrollees_G11_MARITIME,Enrollees_G11_TVL,Enrollees_G11_SPORTs,Enrollees_G11_A&D,Enrollees_G12_ABM,Enrollees_G12_HUMSS,Enrollees_G12_STEM,Enrollees_G12_GAS,Enrollees_G12_MARITIME,Enrollees_G12_TVL,Enrollees_G122_SPORTs,Enrollees_G12_A&D,Teachers_Elementary,Teachers_JHS,Teachers_SHS
SY 2010-2011,2010,2011,Region I - Ilocos Region,84553,120004,106298,101393,100785,98037,92149,84273,78310,73506,68718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21604,9032,0
SY 2010-2011,2010,2011,Region II - Cagayan Valley,27079,83959,73674,70180,68135,65510,62318,54156,50818,47089,42985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14728,5855,0
SY 2010-2011,2010,2011,Region III - Central Luzon,141901,258235,221107,210823,208874,200842,187311,171749,153636,137746,120765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34952,14534,0
SY 2010-2011,2010,2011,Region IV-A - CALABARZON,135149,311562,261317,253680,244886,234923,218548,205849,183617,165552,143008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37190,16193,0
SY 2010-2011,2010,2011,Region IV-B - MIMAROPA,47289,100391,82742,76393,71897,67372,62071,56084,48352,43540,38317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12900,4953,0
SY 2010-2011,2010,2011,Region V - Bicol Region,106282,213159,170617,158442,150241,141879,133409,115366,98742,88874,78227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27056,10513,0
SY 2010-2011,2010,2011,Region VI - Western Visayas,88707,218036,177969,161894,156429,148491,140308,134986,122672,113441,99801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32774,13859,0
SY 2010-2011,2010,2011,Region VII - Central Visayas,120553,210349,171819,161095,154928,146433,132932,125737,107960,95478,82874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25940,9866,0
SY 2010-2011,2010,2011,Region VIII - Eastern Visayas,67173,153902,125625,117311,112298,104891,96699,90002,76297,66295,55745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21860,7352,0
SY 2010-2011,2010,2011,Region IX - Zamboanga Peninsula,60672,139010,102402,91135,84217,78271,71410,64729,55241,48602,41617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16604,5703,0
SY 2010-2011,2010,2011,Region X - Northern Mindanao,57102,148861,114164,104506,98579,92688,83766,71037,59962,53225,45276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17999,5979,0
SY 2010-2011,2010,2011,Region XI - Davao Region,42417,164460,117582,105366,97127,89721,81815,75186,64442,56253,49119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17148,6619,0
SY 2010-2011,2010,2011,Region XII - Soccsksargen,61520,140422,111757,101066,94193,85988,77002,69835,60821,53575,47063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15761,6031,0
SY 2010-2011,2010,2011,CARAGA - CARAGA,48737,88740,70766,64690,61740,56816,52018,46965,42339,36508,31314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11569,4271,0
SY 2010-2011,2010,2011,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,55221,199242,152075,122489,95431,76331,65679,56998,47939,41620,30858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14317,3332,0
SY 2010-2011,2010,2011,CAR - Cordillera Administrative Region,19344,45245,38009,35756,34760,33077,30625,24878,22283,20700,18956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7848,2967,0
SY 2010-2011,2010,2011,NCR - National Capital Region,69614,241810,208721,203715,199930,195395,182319,195183,176840,160444,139995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31314,19210,0
SY 2011-2012,2011,2012,Region I - Ilocos Region,90902,121170,107962,103069,99749,99382,95519,82278,78752,72770,66237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21790,9271,0
SY 2011-2012,2011,2012,Region II - Cagayan Valley,58792,86154,73577,70380,68409,66315,62702,52504,50652,47758,43495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14521,5945,0
SY 2011-2012,2011,2012,Region III - Central Luzon,154152,261290,223819,214213,207842,205431,194436,170664,156282,141049,123256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35418,14832,0
SY 2011-2012,2011,2012,Region IV-A - CALABARZON,171378,329623,266791,255024,250743,241603,227610,205938,189171,171268,148842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37501,17445,0
SY 2011-2012,2011,2012,Region IV-B - MIMAROPA,64259,105042,82789,77602,73766,69633,64018,55771,50663,43696,38842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13215,5134,0
SY 2011-2012,2011,2012,Region V - Bicol Region,131113,221360,174297,159647,152914,144979,134986,119716,101876,88728,79262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27299,10744,0
SY 2011-2012,2011,2012,Region VI - Western Visayas,136092,229048,176997,167139,157404,151528,141149,135105,122704,111816,100727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33046,14218,0
SY 2011-2012,2011,2012,Region VII - Central Visayas,142558,219743,175835,164851,156651,151022,139853,123904,109867,96049,85495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26232,10202,0
SY 2011-2012,2011,2012,Region VIII - Eastern Visayas,95618,150198,126109,116821,111513,106591,98603,89578,78630,66649,57584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22003,7547,0
SY 2011-2012,2011,2012,Region IX - Zamboanga Peninsula,75248,144588,105880,93377,87058,80732,72448,64687,55932,49412,43051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16800,5820,0
SY 2011-2012,2011,2012,Region X - Northern Mindanao,103098,157072,118309,104501,99332,93237,84984,70622,61031,53113,45812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18188,6123,0
SY 2011-2012,2011,2012,Region XI - Davao Region,70704,163835,125476,108452,100944,92865,83102,75555,65730,56742,48977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17233,6756,0
SY 2011-2012,2011,2012,Region XII - Soccsksargen,94075,142167,113624,102719,96526,89284,80063,71246,60702,54951,47472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16019,6320,0
SY 2011-2012,2011,2012,CARAGA - CARAGA,55565,88310,71649,65615,62102,59098,53572,46641,42030,38046,31548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11947,4323,0
SY 2011-2012,2011,2012,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,84982,191760,147501,115820,92178,74550,64205,54850,47168,40951,31513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13104,3204,0
SY 2011-2012,2011,2012,CAR - Cordillera Administrative Region,31245,43597,37949,35561,34514,33580,31294,24838,22394,20443,18793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7999,3044,0
SY 2011-2012,2011,2012,NCR - National Capital Region,111473,251274,208814,202674,199600,197112,189083,190292,178549,162535,142861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31640,19588,0
SY 2012-2013,2012,2013,Region I - Ilocos Region,96075,117784,110018,105306,101444,98086,96592,86007,77773,73547,66720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22235,10022,0
SY 2012-2013,2012,2013,Region II - Cagayan Valley,66564,86899,76830,70997,68794,67119,63935,53499,49269,47040,43579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15284,6614,0
SY 2012-2013,2012,2013,Region III - Central Luzon,171644,255580,229087,217554,210427,203886,198573,175897,156920,143055,126432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36417,16710,0
SY 2012-2013,2012,2013,Region IV-A - CALABARZON,196791,327515,284048,260911,252089,246582,233896,212275,192644,177115,155429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39513,19439,0
SY 2012-2013,2012,2013,Region IV-B - MIMAROPA,68150,95511,88172,78116,74491,70936,65679,56886,51307,46327,39703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13622,5748,0
SY 2012-2013,2012,2013,Region V - Bicol Region,131665,203216,182210,163782,153847,147677,138055,120238,105990,91357,79417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28136,12170,0
SY 2012-2013,2012,2013,Region VI - Western Visayas,144810,220474,190940,167566,162379,152385,144142,134289,123559,110795,99909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33766,15479,0
SY 2012-2013,2012,2013,Region VII - Central Visayas,137539,220197,185010,169104,159992,152249,143805,130264,111785,99053,86565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27307,12026,0
SY 2012-2013,2012,2013,Region VIII - Eastern Visayas,96707,138492,128758,119487,112837,106985,100808,92121,79563,69405,59123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22736,9099,0
SY 2012-2013,2012,2013,Region IX - Zamboanga Peninsula,80917,133403,110259,95905,87067,80936,72843,62798,55734,49132,42750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17217,6491,0
SY 2012-2013,2012,2013,Region X - Northern Mindanao,100584,146975,126111,108254,98059,92839,85434,69611,61115,54223,46279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18831,6873,0
SY 2012-2013,2012,2013,Region XI - Davao Region,83750,153567,130579,115234,102419,95553,85737,75946,67246,57500,49998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17832,7543,0
SY 2012-2013,2012,2013,Region XII - Soccsksargen,96201,133264,119761,105152,96780,90430,82330,71210,61570,54678,49311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16794,6921,0
SY 2012-2013,2012,2013,CARAGA - CARAGA,54003,82559,74938,67623,62648,59181,55630,47122,42090,37434,33104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12358,5161,0
SY 2012-2013,2012,2013,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,90962,160845,135099,107903,87669,71815,61835,48908,42951,37776,30466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14402,3707,0
SY 2012-2013,2012,2013,CAR - Cordillera Administrative Region,31395,41888,37953,35930,34600,33258,31851,25614,22618,20657,18544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8278,3301,0
SY 2012-2013,2012,2013,NCR - National Capital Region,125748,244358,216284,202252,197921,195711,189593,196030,174440,164856,145330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33103,22439,0
SY 2013-2014,2013,2014,Region I - Ilocos Region,99468,109322,112035,108025,103698,100415,95947,87149,81099,73996,69152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22779,11431,0
SY 2013-2014,2013,2014,Region II - Cagayan Valley,69456,78769,82944,74911,70008,67761,65105,54610,50284,46607,44035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16038,7764,0
SY 2013-2014,2013,2014,Region III - Central Luzon,192426,242625,240498,226160,216320,208592,200016,181271,165830,147978,131871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38774,20539,0
SY 2013-2014,2013,2014,Region IV-A - CALABARZON,220092,289269,300402,273503,254287,244684,236353,212123,195448,176917,159765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43299,24588,0
SY 2013-2014,2013,2014,Region IV-B - MIMAROPA,69930,80768,89735,83761,75123,72021,67502,58033,52386,47153,42498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14826,7016,0
SY 2013-2014,2013,2014,Region V - Bicol Region,136829,163548,194616,174096,159301,150263,142329,122133,108945,97870,83779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29740,14544,0
SY 2013-2014,2013,2014,Region VI - Western Visayas,144748,184704,212274,184110,164103,158766,146978,134516,126055,114496,101829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35340,17710,0
SY 2013-2014,2013,2014,Region VII - Central Visayas,144425,179634,208642,179611,165258,156463,146410,131199,117171,102469,90425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30381,14693,0
SY 2013-2014,2013,2014,Region VIII - Eastern Visayas,96323,119209,127039,123426,115849,109681,102349,93689,82827,72191,63742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24490,10364,0
SY 2013-2014,2013,2014,Region IX - Zamboanga Peninsula,79445,102399,116278,99685,87994,80389,73660,62516,54723,49576,42791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18543,7631,0
SY 2013-2014,2013,2014,Region X - Northern Mindanao,97571,125445,131362,118751,103218,93467,87422,70273,62109,55802,49054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20681,8420,0
SY 2013-2014,2013,2014,Region XI - Davao Region,92727,128442,139286,122547,110360,98390,90325,77546,67646,59922,51351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19368,9017,0
SY 2013-2014,2013,2014,Region XII - Soccsksargen,96060,116256,122082,112548,99953,92180,85144,71859,62925,56173,48939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18898,8553,0
SY 2013-2014,2013,2014,CARAGA - CARAGA,57154,73179,75330,71963,65930,60564,56825,49674,43281,38706,33482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13213,6314,0
SY 2013-2014,2013,2014,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,93491,142477,129277,107150,89173,72263,62148,47671,43305,38394,32896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14590,3866,0
SY 2013-2014,2013,2014,CAR - Cordillera Administrative Region,32708,37796,39477,36812,35339,33837,32105,25809,23676,21474,19351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8747,3951,0
SY 2013-2014,2013,2014,NCR - National Capital Region,142954,229460,224487,210703,198234,194916,189602,194130,181757,164082,150144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32206,25250,0
SY 2014-2015,2014,2015,Region I - Ilocos Region,92728,105045,106975,111087,106900,102845,98721,85018,82858,76409,71120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23071,12116,0
